Stock market proxy (CRPS NYSE, Amex and Nasdaq value-weighted index of all listed shares - value weighted daily return)
DATE,vwretd
1949-01-03,-0.013856
1949-01-04,0.004450
1949-01-05,0.010071
1949-01-06,0.020071
1949-01-07,0.007903
1949-01-08,0.000477
1949-01-10,-0.006931
1949-01-11,0.000487
1949-01-12,-0.000681
1949-01-13,-0.005290
1949-01-14,-0.008250
1949-01-15,0.002006
1949-01-17,0.002906
1949-01-18,0.002808
1949-01-19,0.002919
1949-01-20,0.004415
1949-01-21,-0.001395
1949-01-22,0.001479
1949-01-24,-0.003208
1949-01-25,-0.006397
1949-01-26,-0.003074
1949-01-27,-0.003844
1949-01-28,-0.004008
1949-01-29,0.001763
1949-01-31,-0.001364
1949-02-01,0.004940
1949-02-02,0.001838
1949-02-03,-0.002380
1949-02-04,-0.013092
1949-02-05,-0.014643
1949-02-07,-0.007222
1949-02-08,-0.001406
1949-02-09,0.005972
1949-02-10,-0.011671
1949-02-11,-0.000124
1949-02-14,0.001645
1949-02-15,0.003897
1949-02-16,0.005739
1949-02-17,0.008460
1949-02-18,-0.002068
1949-02-19,-0.001299
1949-02-21,-0.002400
1949-02-23,-0.007111
1949-02-24,-0.009074
1949-02-25,-0.001812
1949-02-26,0.004317
1949-02-28,0.008620
1949-03-01,0.005420
1949-03-02,-0.000201
1949-03-03,-0.000464
1949-03-04,0.002091
1949-03-05,0.008912
1949-03-07,0.005024
1949-03-08,0.003611
1949-03-09,-0.001604
1949-03-10,0.001134
1949-03-11,0.009190
1949-03-12,0.003474
1949-03-14,0.000046
1949-03-15,-0.006348
1949-03-16,-0.003759
1949-03-17,0.003879
1949-03-18,-0.002069
1949-03-19,-0.000390
1949-03-21,-0.001991
1949-03-22,-0.007414
1949-03-23,0.009603
1949-03-24,0.003756
1949-03-25,-0.005062
1949-03-26,0.000785
1949-03-28,0.001046
1949-03-29,0.017702
1949-03-30,0.002729
1949-03-31,-0.007955
1949-04-01,-0.006348
1949-04-02,0.003150
1949-04-04,0.001130
1949-04-05,0.000519
1949-04-06,-0.002003
1949-04-07,-0.002722
1949-04-08,0.001735
1949-04-09,0.002779
1949-04-11,-0.002157
1949-04-12,0.000940
1949-04-13,-0.000436
1949-04-14,-0.001759
1949-04-16,0.002930
1949-04-18,0.001083
1949-04-19,-0.003054
1949-04-20,-0.001832
1949-04-21,-0.014760
1949-04-22,0.000574
1949-04-23,0.004003
1949-04-25,-0.002636
1949-04-26,0.003611
1949-04-27,0.000551
1949-04-28,-0.005153
1949-04-29,-0.000197
1949-04-30,0.002049
1949-05-02,0.001519
1949-05-03,0.003709
1949-05-04,0.009630
1949-05-05,0.000451
1949-05-06,-0.003733
1949-05-07,-0.000294
1949-05-09,-0.002383
1949-05-10,-0.001632
1949-05-11,0.001613
1949-05-12,0.002621
1949-05-13,0.001136
1949-05-14,0.002734
1949-05-16,0.002400
1949-05-17,-0.002527
1949-05-18,-0.001920
1949-05-19,-0.005921
1949-05-20,-0.003842
1949-05-21,0.000360
1949-05-23,-0.008300
1949-05-24,-0.005768
1949-05-25,0.002646
1949-05-26,0.000840
1949-05-27,-0.001881
1949-05-31,-0.020220
1949-06-01,-0.002139
1949-06-02,0.001125
1949-06-03,-0.005499
1949-06-06,-0.015351
1949-06-07,0.001598
1949-06-08,0.006800
1949-06-09,-0.000180
1949-06-10,-0.007246
1949-06-13,-0.018401
1949-06-14,0.003416
1949-06-15,0.016818
1949-06-16,-0.001439
1949-06-17,0.001094
1949-06-20,0.012099
1949-06-21,0.001760
1949-06-22,-0.000881
1949-06-23,0.006227
1949-06-24,0.001224
1949-06-27,-0.000495
1949-06-28,-0.008293
1949-06-29,0.005766
1949-06-30,0.004963
1949-07-01,0.007144
1949-07-05,0.004628
1949-07-06,0.008765
1949-07-07,-0.000301
1949-07-08,0.000192
1949-07-11,0.001095
1949-07-12,0.005089
1949-07-13,0.009993
1949-07-14,0.002801
1949-07-15,-0.002542
1949-07-18,0.002921
1949-07-19,0.007141
1949-07-20,0.004094
1949-07-21,-0.003737
1949-07-22,0.000378
1949-07-25,0.002897
1949-07-26,0.005930
1949-07-27,0.001319
1949-07-28,-0.001858
1949-07-29,-0.000773
1949-08-01,0.005219
1949-08-02,0.003283
1949-08-03,-0.000099
1949-08-04,-0.000077
1949-08-05,0.011546
1949-08-08,0.010771
1949-08-09,-0.003522
1949-08-10,0.006274
1949-08-11,-0.002627
1949-08-12,-0.002797
1949-08-15,-0.002761
1949-08-16,0.003583
1949-08-17,0.010405
1949-08-18,0.004175
1949-08-19,-0.004590
1949-08-22,-0.003644
1949-08-23,-0.012189
1949-08-24,0.000950
1949-08-25,0.002601
1949-08-26,0.001694
1949-08-29,-0.006796
1949-08-30,0.003888
1949-08-31,0.001656
1949-09-01,0.006954
1949-09-02,0.000635
1949-09-06,-0.001451
1949-09-07,0.006426
1949-09-08,0.002264
1949-09-09,-0.001156
1949-09-12,0.008383
1949-09-13,0.014608
1949-09-14,-0.000822
1949-09-15,-0.005213
1949-09-16,0.003044
1949-09-19,-0.006087
1949-09-20,-0.022165
1949-09-21,0.014681
1949-09-22,0.006110
1949-09-23,0.004553
1949-09-26,-0.002376
1949-09-27,-0.007188
1949-09-28,0.009087
1949-09-29,0.002734
1949-09-30,-0.000815
1949-10-01,-0.004233
1949-10-03,0.004840
1949-10-04,0.008307
1949-10-05,0.003963
1949-10-06,0.003054
1949-10-07,0.001202
1949-10-08,0.001043
1949-10-10,-0.001079
1949-10-11,0.008372
1949-10-13,0.000277
1949-10-14,-0.002509
1949-10-15,-0.000769
1949-10-17,-0.009722
1949-10-18,0.007862
1949-10-19,0.004219
1949-10-20,-0.001274
1949-10-21,-0.000991
1949-10-22,0.000452
1949-10-24,-0.000009
1949-10-25,0.004432
1949-10-26,0.008500
1949-10-27,0.004500
1949-10-28,-0.005220
1949-10-29,0.000286
1949-10-31,-0.003942
1949-11-01,0.007449
1949-11-02,0.009102
1949-11-03,-0.001461
1949-11-04,0.000052
1949-11-05,0.001360
1949-11-07,-0.002001
1949-11-09,-0.000768
1949-11-10,-0.001089
1949-11-12,-0.000036
1949-11-14,-0.006738
1949-11-15,-0.006360
1949-11-16,0.005444
1949-11-17,0.007665
1949-11-18,0.010415
1949-11-19,0.002182
1949-11-21,-0.005687
1949-11-22,0.003134
1949-11-23,0.001978
1949-11-25,-0.005381
1949-11-26,0.001229
1949-11-28,-0.003808
1949-11-29,-0.000965
1949-11-30,0.002996
1949-12-01,0.006223
1949-12-02,0.009496
1949-12-03,0.006884
1949-12-05,0.001797
1949-12-06,-0.000971
1949-12-07,0.001333
1949-12-08,0.001323
1949-12-09,-0.000104
1949-12-10,0.001516
1949-12-12,0.005597
1949-12-13,0.006125
1949-12-14,0.003749
1949-12-15,0.002207
1949-12-16,-0.000843
1949-12-17,-0.000504
1949-12-19,-0.001998
1949-12-20,-0.005515
1949-12-21,-0.001410
1949-12-22,0.008031
1949-12-23,0.001899
1949-12-27,-0.005007
1949-12-28,0.005029
1949-12-29,0.002247
1949-12-30,0.004786
1949-12-31,-0.000780
1950-01-03,-0.005862
1950-01-04,0.010989
1950-01-05,0.004014
1950-01-06,0.002453
1950-01-07,0.006412
1950-01-09,0.001446
1950-01-10,-0.003540
1950-01-11,0.004276
1950-01-12,-0.018150
1950-01-13,-0.005146
1950-01-14,0.001510
1950-01-16,0.001718
1950-01-17,0.007631
1950-01-18,-0.000592
1950-01-19,0.001977
1950-01-20,0.002258
1950-01-21,0.001068
1950-01-23,-0.001786
1950-01-24,-0.003126
1950-01-25,-0.006002
1950-01-26,0.001473
1950-01-27,0.003591
1950-01-28,0.003277
1950-01-30,0.006663
1950-01-31,0.001509
1950-02-01,-0.000072
1950-02-02,0.009906
1950-02-03,0.003307
1950-02-04,0.002384
1950-02-06,-0.002341
1950-02-07,-0.004112
1950-02-08,0.001216
1950-02-09,0.004360
1950-02-10,-0.002168
1950-02-11,-0.000702
1950-02-14,-0.006221
1950-02-15,0.000945
1950-02-16,-0.001581
1950-02-17,0.006415
1950-02-18,0.004384
1950-02-20,-0.001370
1950-02-21,-0.001431
1950-02-23,0.001597
1950-02-24,0.003505
1950-02-25,-0.000764
1950-02-27,0.001360
1950-02-28,-0.003322
1950-03-01,0.003431
1950-03-02,0.000351
1950-03-03,0.003614
1950-03-04,0.002741
1950-03-06,0.000665
1950-03-07,-0.006783
1950-03-08,0.001816
1950-03-09,-0.006083
1950-03-10,-0.000504
1950-03-11,0.002676
1950-03-13,-0.000680
1950-03-14,0.005302
1950-03-15,0.013047
1950-03-16,0.002902
1950-03-17,-0.001849
1950-03-18,0.002031
1950-03-20,-0.001410
1950-03-21,0.000468
1950-03-22,0.005687
1950-03-23,0.000698
1950-03-24,-0.000367
1950-03-25,0.002828
1950-03-27,-0.008358
1950-03-28,0.002905
1950-03-29,-0.003395
1950-03-30,-0.009250
1950-03-31,0.000452
1950-04-01,0.002733
1950-04-03,0.008710
1950-04-04,0.001685
1950-04-05,0.003477
1950-04-06,0.009339
1950-04-08,0.002601
1950-04-10,0.000806
1950-04-11,-0.005668
1950-04-12,0.009669
1950-04-13,0.001264
1950-04-14,-0.001337
1950-04-15,-0.004298
1950-04-17,-0.000644
1950-04-18,0.004121
1950-04-19,0.001443
1950-04-20,-0.006750
1950-04-21,0.003469
1950-04-22,0.001019
1950-04-24,-0.007725
1950-04-25,0.000140
1950-04-26,-0.001675
1950-04-27,0.005765
1950-04-28,0.005992
1950-04-29,0.006086
1950-05-01,0.005692
1950-05-02,-0.004267
1950-05-03,0.007043
1950-05-04,-0.005583
1950-05-05,0.004318
1950-05-06,0.005601
1950-05-08,-0.000311
1950-05-09,0.003699
1950-05-10,0.000061
1950-05-11,0.002225
1950-05-12,-0.004082
1950-05-13,0.001661
1950-05-15,0.001755
1950-05-16,0.007432
1950-05-17,0.004035
1950-05-18,0.003371
1950-05-19,0.006218
1950-05-20,0.002078
1950-05-22,-0.004358
1950-05-23,0.003343
1950-05-24,-0.001189
1950-05-25,-0.000251
1950-05-26,-0.000072
1950-05-27,-0.000471
1950-05-29,0.003395
1950-05-31,0.002341
1950-06-01,-0.000881
1950-06-02,0.000439
1950-06-05,-0.008558
1950-06-06,0.007165
1950-06-07,0.004161
1950-06-08,0.008117
1950-06-09,0.005531
1950-06-12,0.004672
1950-06-13,-0.004986
1950-06-14,-0.011109
1950-06-15,-0.000070
1950-06-16,0.000211
1950-06-19,-0.003930
1950-06-20,-0.002739
1950-06-21,0.008740
1950-06-22,0.007539
1950-06-23,0.000814
1950-06-26,-0.052899
1950-06-27,-0.010249
1950-06-28,0.012800
1950-06-29,-0.035260
1950-06-30,0.013043
1950-07-03,-0.005508
1950-07-05,0.008258
1950-07-06,0.006963
1950-07-07,-0.011224
1950-07-10,-0.004732
1950-07-11,-0.013975
1950-07-12,-0.023632
1950-07-13,-0.009805
1950-07-14,0.012882
1950-07-17,-0.008315
1950-07-18,0.022750
1950-07-19,0.017516
1950-07-20,0.014804
1950-07-21,0.002130
1950-07-24,-0.005515
1950-07-25,-0.013066
1950-07-26,0.003261
1950-07-27,0.012094
1950-07-28,0.008122
1950-07-31,0.004303
1950-08-01,0.007998
1950-08-02,-0.000364
1950-08-03,0.003075
1950-08-04,0.005241
1950-08-07,0.011666
1950-08-08,0.001965
1950-08-09,0.005636
1950-08-10,0.002349
1950-08-11,-0.005685
1950-08-14,0.001402
1950-08-15,0.002729
1950-08-16,0.003149
1950-08-17,0.010159
1950-08-18,0.005800
1950-08-21,0.001449
1950-08-22,-0.001780
1950-08-23,0.007385
1950-08-24,0.000218
1950-08-25,-0.011613
1950-08-28,0.000319
1950-08-29,0.002578
1950-08-30,-0.002577
1950-08-31,-0.000934
1950-09-01,0.004973
1950-09-05,0.004693
1950-09-06,-0.005693
1950-09-07,0.003770
1950-09-08,0.008177
1950-09-11,-0.006359
1950-09-12,0.011492
1950-09-13,0.010708
1950-09-14,0.004441
1950-09-15,0.003955
1950-09-18,0.002763
1950-09-19,-0.003377
1950-09-20,-0.005002
1950-09-21,0.008017
1950-09-22,0.005558
1950-09-25,-0.001718
1950-09-26,-0.012456
1950-09-27,0.012545
1950-09-28,0.001144
1950-09-29,0.000875
1950-10-02,0.009846
1950-10-03,-0.002212
1950-10-04,0.012244
1950-10-05,-0.003527
1950-10-06,0.008045
1950-10-07,0.002854
1950-10-09,-0.008353
1950-10-10,-0.007244
1950-10-11,0.005328
1950-10-13,0.001116
1950-10-14,-0.004520
1950-10-16,-0.000435
1950-10-17,0.007709
1950-10-18,0.006570
1950-10-19,-0.000144
1950-10-20,-0.001752
1950-10-21,0.002397
1950-10-23,-0.000670
1950-10-24,0.002113
1950-10-25,-0.001432
1950-10-26,-0.020687
1950-10-27,0.005780
1950-10-28,0.001985
1950-10-30,-0.009193
1950-10-31,-0.006345
1950-11-01,0.004178
1950-11-02,0.009319
1950-11-03,0.003435
1950-11-04,-0.003348
1950-11-06,-0.021771
1950-11-08,0.014987
1950-11-09,0.013417
1950-11-10,0.007344
1950-11-13,0.004291
1950-11-14,0.002470
1950-11-15,-0.001376
1950-11-16,-0.001876
1950-11-17,0.008479
1950-11-18,0.005081
1950-11-20,0.000489
1950-11-21,-0.000076
1950-11-22,0.010837
1950-11-24,0.007305
1950-11-25,-0.000917
1950-11-27,-0.003000
1950-11-28,-0.028291
1950-11-29,-0.008352
1950-11-30,0.007317
1950-12-01,0.007666
1950-12-02,-0.006048
1950-12-04,-0.027873
1950-12-05,0.015781
1950-12-06,0.008745
1950-12-07,-0.001493
1950-12-08,0.002836
1950-12-09,0.003758
1950-12-11,0.009383
1950-12-12,0.000798
1950-12-13,0.000415
1950-12-14,-0.010302
1950-12-15,-0.003983
1950-12-16,0.015964
1950-12-18,0.010431
1950-12-19,0.005392
1950-12-20,0.002943
1950-12-21,0.001525
1950-12-22,0.003421
1950-12-26,-0.008033
1950-12-27,0.019904
1950-12-28,0.005473
1950-12-29,-0.000381
1950-12-30,0.001390
1951-01-02,0.015830
1951-01-03,-0.002561
1951-01-04,0.007119
1951-01-05,0.000560
1951-01-06,-0.000737
1951-01-08,0.004805
1951-01-09,0.005747
1951-01-10,-0.013436
1951-01-11,0.016032
1951-01-12,-0.003032
1951-01-13,0.001019
1951-01-15,0.005348
1951-01-16,0.007018
1951-01-17,0.005473
1951-01-18,-0.002945
1951-01-19,-0.001166
1951-01-20,0.001496
1951-01-22,-0.010078
1951-01-23,0.003228
1951-01-24,-0.003048
1951-01-25,-0.006869
1951-01-26,0.010143
1951-01-27,0.010653
1951-01-29,0.007135
1951-01-30,0.002752
1951-01-31,-0.002384
1951-02-01,0.005874
1951-02-02,0.007456
1951-02-03,0.003699
1951-02-05,0.003276
1951-02-06,-0.003567
1951-02-07,-0.002569
1951-02-08,0.005376
1951-02-09,0.004698
1951-02-10,0.001776
1951-02-13,0.001030
1951-02-14,-0.003036
1951-02-15,-0.002179
1951-02-16,0.003921
1951-02-17,0.000703
1951-02-19,-0.012035
1951-02-20,-0.001973
1951-02-21,0.004469
1951-02-23,0.002512
1951-02-24,0.002102
1951-02-26,-0.000357
1951-02-27,-0.008548
1951-02-28,0.001509
1951-03-01,0.003391
1951-03-02,0.004197
1951-03-03,-0.000261
1951-03-05,-0.005561
1951-03-06,-0.002040
1951-03-07,0.003996
1951-03-08,0.003399
1951-03-09,0.000682
1951-03-10,-0.001939
1951-03-12,-0.009800
1951-03-13,-0.015783
1951-03-14,-0.008611
1951-03-15,0.001233
1951-03-16,0.016342
1951-03-17,0.002197
1951-03-19,-0.005532
1951-03-20,-0.001520
1951-03-21,0.005850
1951-03-22,0.003271
1951-03-24,-0.010864
1951-03-26,0.000815
1951-03-27,0.000604
1951-03-28,-0.011214
1951-03-29,0.002534
1951-03-30,0.006228
1951-03-31,-0.002557
1951-04-02,-0.005354
1951-04-03,-0.002121
1951-04-04,0.004677
1951-04-05,0.014153
1951-04-06,0.003659
1951-04-07,-0.000827
1951-04-09,0.000499
1951-04-10,-0.001883
1951-04-11,-0.001568
1951-04-12,0.009941
1951-04-13,0.013071
1951-04-14,0.003993
1951-04-16,-0.005145
1951-04-17,0.001576
1951-04-18,0.003649
1951-04-19,-0.004521
1951-04-20,-0.000635
1951-04-21,0.000233
1951-04-23,-0.000184
1951-04-24,-0.004526
1951-04-25,0.001451
1951-04-26,0.008971
1951-04-27,0.009072
1951-04-28,0.001747
1951-04-30,-0.000315
1951-05-01,0.003164
1951-05-02,0.002852
1951-05-03,0.007360
1951-05-04,0.000463
1951-05-05,-0.002821
1951-05-07,-0.002083
1951-05-08,0.003479
1951-05-09,0.002347
1951-05-10,-0.004983
1951-05-11,-0.005332
1951-05-12,-0.005655
1951-05-14,-0.000877
1951-05-15,-0.015281
1951-05-16,-0.002889
1951-05-17,0.009713
1951-05-18,-0.015906
1951-05-19,0.000718
1951-05-21,-0.004229
1951-05-22,-0.003231
1951-05-23,-0.006476
1951-05-24,-0.004163
1951-05-25,0.001138
1951-05-26,0.001838
1951-05-28,0.005265
1951-05-29,0.007399
1951-05-31,0.005806
1951-06-01,-0.001381
1951-06-04,-0.009843
1951-06-05,0.001938
1951-06-06,0.009033
1951-06-07,0.005053
1951-06-08,-0.001930
1951-06-11,0.005070
1951-06-12,-0.004129
1951-06-13,0.000806
1951-06-14,0.009638
1951-06-15,0.006677
1951-06-18,-0.000452
1951-06-19,-0.001172
1951-06-20,-0.004432
1951-06-21,-0.005580
1951-06-22,-0.007970
1951-06-25,-0.015513
1951-06-26,0.002545
1951-06-27,0.004556
1951-06-28,-0.010894
1951-06-29,-0.007398
1951-07-02,0.006028
1951-07-03,0.007309
1951-07-05,0.015841
